PLAYER_ID,Name,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
203081,Damian Lillard,2024-25,1610612749,MIL,34.0,58,2092.87,444,992,0.448,197,524,0.376,362,393,0.921,29,243,272,410,70,10,162,97,1447
1641878,Damion Baugh,2024-25,1610612766,CHA,24.0,12,304.0883333333333,36,109,0.33,10,45,0.222,11,13,0.846,10,26,36,46,14,1,23,20,93
1627814,Damion Lee,2024-25,1610612756,PHX,32.0,20,122.46833333333333,21,61,0.344,7,30,0.233,20,21,0.952,2,13,15,10,5,0,8,5,69
1629655,Daniel Gafford,2024-25,1610612742,DAL,26.0,53,1154.1283333333333,265,378,0.701,0,0,0.0,125,181,0.691,145,218,363,75,21,97,62,143,655
1628464,Daniel Theis,2024-25,1610612740,NOP,33.0,38,621.2416666666667,61,129,0.473,9,37,0.243,31,37,0.838,44,120,164,60,18,20,25,70,162
1642450,Daniss Jenkins,2024-25,1610612765,DET,23.0,6,12.13,2,6,0.333,1,5,0.2,0,0,0.0,0,0,0,0,0,0,1,2,5
203957,Danté Exum,2024-25,1610612742,DAL,29.0,18,344.07666666666665,60,125,0.48,21,47,0.447,23,31,0.742,4,26,30,50,12,3,19,31,164
203967,Dario Šarić,2024-25,1610612743,DEN,30.0,16,210.38333333333333,21,58,0.362,7,26,0.269,7,10,0.7,14,36,50,23,7,1,15,19,56
1641727,Dariq Whitehead,2024-25,1610612751,BKN,20.0,15,153.06166666666667,26,65,0.4,23,52,0.442,3,5,0.6,3,15,18,6,4,1,8,11,78
1629636,Darius Garland,2024-25,1610612739,CLE,25.0,71,2173.6633333333334,524,1111,0.472,200,498,0.402,214,242,0.884,46,159,205,474,86,11,179,140,1462
1630561,David Duke Jr.,2024-25,1610612759,SAS,25.0,4,17.65,2,7,0.286,0,1,0.0,1,2,0.5,0,3,3,3,0,0,1,1,5
1631223,David Roddy,2024-25,1610612745,HOU,24.0,30,374.9033333333333,52,112,0.464,18,54,0.333,18,22,0.818,13,66,79,33,14,8,21,19,140
1630558,Davion Mitchell,2024-25,1610612748,MIA,26.0,69,1875.19,198,429,0.462,80,197,0.406,48,71,0.676,32,120,152,330,64,14,121,173,524
1630549,Day'Ron Sharpe,2024-25,1610612751,BKN,23.0,50,907.4583333333334,165,317,0.521,11,45,0.244,56,74,0.757,149,181,330,91,41,42,63,113,397
1628368,De'Aaron Fox,2024-25,1610612759,SAS,27.0,62,2241.1366666666668,539,1163,0.463,118,381,0.31,263,318,0.827,54,244,298,392,91,25,174,164,1459
1629631,De'Andre Hunter,2024-25,1610612739,CLE,27.0,60,1630.4483333333333,331,703,0.471,145,358,0.405,212,248,0.855,43,192,235,83,43,10,76,146,1019
1629001,De'Anthony Melton,2024-25,1610612751,BKN,26.0,6,120.98333333333333,22,54,0.407,13,35,0.371,5,8,0.625,6,14,20,17,7,2,10,18,62
201599,DeAndre Jordan,2024-25,1610612743,DEN,36.0,52,653.455,86,131,0.656,0,0,0.0,25,58,0.431,77,190,267,51,15,23,40,71,197
201942,DeMar DeRozan,2024-25,1610612758,SAC,35.0,72,2583.423333333333,582,1209,0.481,80,235,0.34,355,412,0.862,46,237,283,316,62,29,100,139,1599
1629731,Dean Wade,2024-25,1610612739,CLE,28.0,55,1172.265,105,255,0.412,74,210,0.352,15,28,0.536,51,189,240,71,39,20,20,95,299
1629028,Deandre Ayton,2024-25,1610612757,POR,26.0,40,1205.62,265,468,0.566,6,32,0.188,40,60,0.667,124,282,406,64,31,39,69,88,576
1627749,Dejounte Murray,2024-25,1610612740,NOP,28.0,31,1012.1483333333333,194,494,0.393,52,174,0.299,102,124,0.823,17,183,200,228,63,12,106,61,542
1626153,Delon Wright,2024-25,1610612752,NYK,32.0,37,571.8633333333333,39,117,0.333,18,65,0.277,14,24,0.583,25,38,63,70,31,12,21,23,110
1630166,Deni Avdija,2024-25,1610612757,POR,24.0,71,2125.681666666667,390,819,0.476,123,335,0.367,279,358,0.779,104,407,511,276,71,35,195,168,1182
203471,Dennis Schröder,2024-25,1610612765,DET,31.0,70,1952.29,319,783,0.407,121,355,0.341,170,201,0.846,23,161,184,382,64,12,133,173,929
1641726,Dereck Lively II,2024-25,1610612742,DAL,21.0,33,784.2866666666666,125,178,0.702,0,0,0.0,46,73,0.63,100,156,256,85,17,55,39,95,296
1627884,Derrick Jones Jr.,2024-25,1610612746,LAC,28.0,71,1729.2133333333334,287,546,0.526,73,200,0.365,79,111,0.712,87,160,247,56,73,31,61,143,726
1628401,Derrick White,2024-25,1610612738,BOS,30.0,72,2438.443333333333,400,912,0.439,249,655,0.38,135,161,0.839,61,259,320,334,69,76,120,135,1184
1630217,Desmond Bane,2024-25,1610612763,MEM,26.0,65,2068.7516666666666,452,947,0.477,148,388,0.381,166,187,0.888,61,333,394,353,78,27,160,156,1218
1626164,Devin Booker,2024-25,1610612756,PHX,28.0,70,2618.655,599,1313,0.456,178,527,0.338,411,459,0.895,68,216,284,497,65,14,202,187,1787
1642269,Devin Carter,2024-25,1610612758,SAC,23.0,31,311.54833333333335,38,100,0.38,14,51,0.275,25,42,0.595,14,49,63,35,16,3,14,31,115
1630170,Devin Vassell,2024-25,1610612759,SAS,24.0,60,1862.6016666666667,370,836,0.443,145,398,0.364,93,116,0.802,31,207,238,173,74,33,78,101,978
1628415,Dillon Brooks,2024-25,1610612745,HOU,29.0,73,2336.6583333333333,371,873,0.425,181,459,0.394,98,119,0.824,75,196,271,125,60,16,76,239,1021
1641794,Dillon Jones,2024-25,1610612760,OKC,23.0,48,453.21166666666664,42,117,0.359,13,58,0.224,15,26,0.577,24,72,96,51,13,3,19,45,112
1627734,Domantas Sabonis,2024-25,1610612758,SAC,28.0,65,2252.1916666666666,487,832,0.585,59,147,0.401,206,277,0.744,249,659,908,393,42,24,187,215,1239
1631230,Dominick Barlow,2024-25,1610612737,ATL,21.0,30,320.1816666666667,52,99,0.525,7,23,0.304,18,26,0.692,31,43,74,16,8,15,4,38,129
1642270,Donovan Clingan,2024-25,1610612757,POR,21.0,62,1187.0583333333334,157,291,0.54,12,40,0.3,57,94,0.606,190,275,465,68,29,101,69,169,383
1628378,Donovan Mitchell,2024-25,1610612739,CLE,28.0,69,2165.4333333333334,570,1286,0.443,226,616,0.367,290,349,0.831,55,258,313,341,92,16,142,137,1656
1628978,Donte DiVincenzo,2024-25,1610612750,MIN,28.0,57,1483.345,224,545,0.411,156,403,0.387,49,62,0.79,30,182,212,212,70,16,87,103,653
1627827,Dorian Finney-Smith,2024-25,1610612747,LAL,31.0,58,1662.5616666666667,177,401,0.441,113,284,0.398,28,43,0.651,76,155,231,79,54,22,54,130,495
203926,Doug McDermott,2024-25,1610612758,SAC,33.0,39,309.45166666666665,45,104,0.433,39,90,0.433,3,5,0.6,2,17,19,4,4,2,6,28,132
203110,Draymond Green,2024-25,1610612744,GSW,35.0,62,1804.3633333333332,200,470,0.426,72,226,0.319,96,140,0.686,69,318,387,355,89,65,158,199,568
1629234,Drew Eubanks,2024-25,1610612746,LAC,28.0,56,703.29,106,179,0.592,3,6,0.5,45,69,0.652,55,156,211,50,11,37,38,58,260
1641809,Drew Peterson,2024-25,1610612738,BOS,25.0,21,157.01333333333332,14,31,0.452,10,25,0.4,6,7,0.857,5,25,30,13,5,2,6,14,44
1631166,Drew Timme,2024-25,1610612751,BKN,24.0,4,98.54333333333334,20,37,0.541,2,11,0.182,3,4,0.75,8,12,20,7,3,1,6,8,45
1630696,Dru Smith,2024-25,1610612748,MIA,27.0,14,268.205,31,61,0.508,16,30,0.533,9,12,0.75,12,24,36,23,21,6,17,30,87
1629130,Duncan Robinson,2024-25,1610612748,MIA,30.0,69,1671.625,267,615,0.434,173,445,0.389,44,50,0.88,17,141,158,168,39,5,81,130,751
1641871,Duop Reath,2024-25,1610612757,POR,28.0,45,463.49333333333334,70,164,0.427,34,105,0.324,20,22,0.909,43,46,89,26,12,14,16,41,194
203939,Dwight Powell,2024-25,1610612742,DAL,33.0,50,510.6933333333333,40,55,0.727,1,2,0.5,27,41,0.659,46,66,112,54,17,21,18,74,108
1630700,Dyson Daniels,2024-25,1610612737,ATL,22.0,71,2409.435,427,867,0.493,77,223,0.345,78,130,0.6,118,299,417,306,217,50,143,170,1009
1630604,E.J. Liddell,2024-25,1610612741,CHI,24.0,8,35.54,5,10,0.5,3,8,0.375,2,2,1.0,1,4,5,3,1,1,2,8,15
